context_id,dataset_id,arch,proposed_test_f1_macro,best_nonproposed_method_id,best_nonproposed_method_label,best_nonproposed_group,best_nonproposed_test_f1_macro,delta_vs_best_nonproposed_test_f1_macro,practical_outcome_margin_0p005
brain_tumor_mri_14c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,convnext_tiny,0.9850366907745732,mvda,MvDA,multilayer,0.977645670799692,0.00739101997488123,practical_win
brain_tumor_mri_14c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,densenet121,0.980445262956314,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9771096685220187,0.003335594434295208,practical_tie
brain_tumor_mri_14c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,efficientnet_b0,0.9748006129980964,maxvar_gcca,MAXVAR-GCCA,multilayer,0.965686158943026,0.009114454055070387,practical_win
brain_tumor_mri_14c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,brain_tumor_mri_14c,efficientnet_b2,0.980249080947212,mvda,MvDA,multilayer,0.982036356275256,-0.0017872753280440135,practical_tie
brain_tumor_mri_14c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,brain_tumor_mri_14c,efficientnet_b3,0.9886893809307312,mvda,MvDA,multilayer,0.9857057537156112,0.0029836272151200216,practical_tie
brain_tumor_mri_14c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,mobilenet_v3_large,0.9712628892456988,concat_nca_knn,NCA + kNN,multilayer,0.9761642816331322,-0.004901392387433368,practical_tie
brain_tumor_mri_14c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,resnet18,0.9749956238147792,mvda,MvDA,multilayer,0.9758156124751378,-0.0008199886603585949,practical_tie
brain_tumor_mri_14c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,resnet34,0.9927668226663896,mvda,MvDA,multilayer,0.986179264559294,0.006587558107095548,practical_win
brain_tumor_mri_14c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,brain_tumor_mri_14c,resnet50,0.9810152541973368,last_layer_selected_classifier,Last-layer selected classifier,last_layer,0.9895142288582544,-0.008498974660917535,practical_loss
brain_tumor_mri_17c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,convnext_tiny,0.9919368213569226,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9865333256512878,0.005403495705634809,practical_win
brain_tumor_mri_17c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,densenet121,0.9843035382714144,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9840885447808198,0.00021499349059461714,practical_tie
brain_tumor_mri_17c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,efficientnet_b0,0.9779052635795874,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9757954176791678,0.002109845900419627,practical_tie
brain_tumor_mri_17c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,brain_tumor_mri_17c,efficientnet_b2,0.9874509126277784,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9904344469504448,-0.0029835343226664035,practical_tie
brain_tumor_mri_17c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,brain_tumor_mri_17c,efficientnet_b3,0.9867405857795788,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9886822953956076,-0.0019417096160287972,practical_tie
brain_tumor_mri_17c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,mobilenet_v3_large,0.979876592685785,concat_nca_knn,NCA + kNN,multilayer,0.9864874538114454,-0.00661086112566045,practical_loss
brain_tumor_mri_17c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,resnet18,0.9826377198394356,last_layer_selected_classifier,Last-layer selected classifier,last_layer,0.9774078635890976,0.005229856250338005,practical_win
brain_tumor_mri_17c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,resnet34,0.9883640429406062,maxvar_gcca,MAXVAR-GCCA,multilayer,0.982405721731642,0.0059583212089642235,practical_win
brain_tumor_mri_17c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,brain_tumor_mri_17c,resnet50,0.9781713999242356,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9716967165119372,0.006474683412298399,practical_win
brain_tumor_mri_44c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,convnext_tiny,0.94486725903249,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9430588905598246,0.0018083684726654115,practical_tie
brain_tumor_mri_44c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,densenet121,0.948534784225896,mvda,MvDA,multilayer,0.944887466130827,0.0036473180950690187,practical_tie
brain_tumor_mri_44c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,efficientnet_b0,0.9461697117047708,mvda,MvDA,multilayer,0.9407101164419828,0.005459595262788053,practical_win
brain_tumor_mri_44c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,brain_tumor_mri_44c,efficientnet_b2,0.949108769119162,mvda,MvDA,multilayer,0.9475910195804812,0.0015177495386807793,practical_tie
brain_tumor_mri_44c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,brain_tumor_mri_44c,efficientnet_b3,0.9408943439054576,mvda,MvDA,multilayer,0.945371185757996,-0.004476841852538382,practical_tie
brain_tumor_mri_44c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,mobilenet_v3_large,0.932934451268725,concat_nca_knn,NCA + kNN,multilayer,0.9455575732745116,-0.012623122005786636,practical_loss
brain_tumor_mri_44c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,resnet18,0.9387980862287508,mvda,MvDA,multilayer,0.938843603365254,-4.5517136503137046e-05,practical_tie
brain_tumor_mri_44c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,resnet34,0.9425910012201766,uniform_kernel_svm,Uniform kernel SVM,multilayer,0.9492837310863808,-0.006692729866204172,practical_loss
brain_tumor_mri_44c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,brain_tumor_mri_44c,resnet50,0.9415522959344984,maxvar_gcca,MAXVAR-GCCA,multilayer,0.9407883751092756,0.000763920825222808,practical_tie
