context_id,depth_group,mean_single_layer_val_f1_macro
brain_tumor_mri_14c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Early,0.9597907668743888
brain_tumor_mri_14c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Early,0.9722646142573363
brain_tumor_mri_14c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Early,0.9210187303482891
brain_tumor_mri_14c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Early,0.9000712862293327
brain_tumor_mri_14c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Early,0.9385546958595554
brain_tumor_mri_14c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Early,0.8355494587157765
brain_tumor_mri_14c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Early,0.9775079060855436
brain_tumor_mri_14c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Early,0.97723845923278
brain_tumor_mri_14c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Early,0.9763549067170608
brain_tumor_mri_17c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Early,0.9539859711573256
brain_tumor_mri_17c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Early,0.9611217074618488
brain_tumor_mri_17c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Early,0.8636533009959216
brain_tumor_mri_17c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Early,0.89168853462985
brain_tumor_mri_17c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Early,0.911584709283142
brain_tumor_mri_17c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Early,0.7638699221838121
brain_tumor_mri_17c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Early,0.9443708669128686
brain_tumor_mri_17c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Early,0.9508651190701584
brain_tumor_mri_17c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Early,0.9485024521161856
brain_tumor_mri_44c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Early,0.907734417581598
brain_tumor_mri_44c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Early,0.9256299770487716
brain_tumor_mri_44c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Early,0.8537306098357778
brain_tumor_mri_44c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Early,0.8458054916839062
brain_tumor_mri_44c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Early,0.8908066008636004
brain_tumor_mri_44c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Early,0.7508647080347955
brain_tumor_mri_44c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Early,0.908319579937406
brain_tumor_mri_44c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Early,0.9119093158953778
brain_tumor_mri_44c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Early,0.9003637742267281
brain_tumor_mri_4c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Early,0.944061968328022
brain_tumor_mri_4c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Early,0.9417997185927052
brain_tumor_mri_4c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Early,0.8994614832942154
brain_tumor_mri_4c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Early,0.8929535770508535
brain_tumor_mri_4c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Early,0.9093473892485762
brain_tumor_mri_4c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Early,0.8485855966025158
brain_tumor_mri_4c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Early,0.9353349161559316
brain_tumor_mri_4c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Early,0.9405927740524292
brain_tumor_mri_4c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Early,0.945276941815979
sciencedb_brain_tumor_3c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Early,0.8540016081739031
sciencedb_brain_tumor_3c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Early,0.881668917121145
sciencedb_brain_tumor_3c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Early,0.7661112823009923
sciencedb_brain_tumor_3c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Early,0.752281588732675
sciencedb_brain_tumor_3c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Early,0.8081399442217021
sciencedb_brain_tumor_3c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Early,0.6667719200327626
sciencedb_brain_tumor_3c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Early,0.872419341457168
sciencedb_brain_tumor_3c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Early,0.8704626042755539
sciencedb_brain_tumor_3c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Early,0.869200282272558
brain_tumor_mri_14c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Mid,0.9482205564096136
brain_tumor_mri_14c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Mid,0.9810956029052706
brain_tumor_mri_14c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Mid,0.9751288008087592
brain_tumor_mri_14c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Mid,0.9776570116412568
brain_tumor_mri_14c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Mid,0.9755417403314729
brain_tumor_mri_14c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Mid,0.9709571338842096
brain_tumor_mri_14c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Mid,0.9765064098083904
brain_tumor_mri_14c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Mid,0.9834213976035332
brain_tumor_mri_14c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Mid,0.981506296142962
brain_tumor_mri_17c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Mid,0.9311456999977004
brain_tumor_mri_17c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Mid,0.971347728393594
brain_tumor_mri_17c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Mid,0.9717828966478703
brain_tumor_mri_17c__efficientnet_b2__efficientnet_b2_imagenet_full_img260_colab_best_gap,Mid,0.9656911067522806
brain_tumor_mri_17c__efficientnet_b3__efficientnet_b3_imagenet_full_img300_colab_best_gap,Mid,0.9634462319350388
brain_tumor_mri_17c__mobilenet_v3_large__mobilenet_v3_large_imagenet_full_img224_colab_best_gap,Mid,0.9481909445632963
brain_tumor_mri_17c__resnet18__resnet18_imagenet_full_img224_colab_best_gap,Mid,0.9559428140104964
brain_tumor_mri_17c__resnet34__resnet34_imagenet_full_img224_colab_best_gap,Mid,0.9705691158983328
brain_tumor_mri_17c__resnet50__resnet50_imagenet_full_img224_colab_best_gap,Mid,0.9619850822875292
brain_tumor_mri_44c__convnext_tiny__convnext_tiny_imagenet_full_img224_colab_best_gap,Mid,0.8587762839494762
brain_tumor_mri_44c__densenet121__densenet121_imagenet_full_img224_colab_best_gap,Mid,0.9399930565692612
brain_tumor_mri_44c__efficientnet_b0__efficientnet_b0_imagenet_full_img224_colab_best_gap,Mid,0.9379804834750821
